Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,CA-2026-100000,2024-01-01,2024-01-05,First Class,Co-10541,Corporate,United States,Texas,Central,Office Supplies,Paper,49.4,2,0.2,-0.76
2,CA-2026-100001,2024-01-01,2024-01-06,Standard Class,Co-10940,Consumer,United States,California,West,Furniture,Bookcases,90.49,2,0.5,-2.79
3,CA-2026-100002,2024-01-02,2024-01-05,Second Class,Co-10798,Consumer,United States,California,West,Furniture,Tables,198.64,6,0.3,98.88
4,CA-2026-100003,2024-01-03,2024-01-08,First Class,Co-10975,Consumer,United States,Washington,West,Office Supplies,Storage,162.4,8,0.0,-219.55
5,CA-2026-100004,2024-01-04,2024-01-09,Second Class,Ho-10761,Home Office,United States,Washington,West,Furniture,Furnishings,31.85,1,0.3,-2.34
6,CA-2026-100005,2024-01-05,2024-01-07,Standard Class,Co-10875,Corporate,United States,California,West,Technology,Copiers,73.42,6,0.2,101.36
7,CA-2026-100006,2024-01-06,2024-01-09,Standard Class,Co-10861,Consumer,United States,Florida,South,Technology,Copiers,59.56,2,0.0,-14.35
8,CA-2026-100007,2024-01-07,2024-01-10,Second Class,Co-10909,Consumer,United States,North Carolina,South,Technology,Phones,53.04,2,0.0,-6.36
9,CA-2026-100008,2024-01-08,2024-01-11,Standard Class,Co-10822,Consumer,United States,Michigan,Central,Furniture,Furnishings,110.91,7,0.2,44.73
10,CA-2026-100009,2024-01-09,2024-01-14,Second Class,Co-10124,Corporate,United States,Massachusetts,East,Technology,Accessories,248.5,1,0.0,27.4
11,CA-2026-100010,2024-01-10,2024-01-14,First Class,Co-10905,Corporate,United States,Indiana,Central,Office Supplies,Storage,54.04,6,0.0,83.71
12,CA-2026-100011,2024-01-11,2024-01-14,First Class,Co-10952,Consumer,United States,New York,East,Office Supplies,Binders,96.36,7,0.0,46.14
13,CA-2026-100012,2024-01-12,2024-01-17,Standard Class,Co-10763,Consumer,United States,Oregon,West,Furniture,Chairs,104.16,8,0.0,228.25
14,CA-2026-100013,2024-01-13,2024-01-15,Standard Class,Co-10635,Consumer,United States,Pennsylvania,East,Furniture,Chairs,754.78,7,0.0,903.51
15,CA-2026-100014,2024-01-14,2024-01-18,Same Day,Co-10863,Corporate,United States,Texas,Central,Office Supplies,Art,623.74,6,0.3,-346.17
16,CA-2026-100015,2024-01-15,2024-01-17,First Class,Co-10159,Corporate,United States,Michigan,Central,Office Supplies,Appliances,327.03,9,0.1,-281.32
17,CA-2026-100016,2024-01-16,2024-01-20,Standard Class,Co-10566,Consumer,United States,Ohio,East,Furniture,Chairs,60.32,3,0.1,10.13
18,CA-2026-100017,2024-01-17,2024-01-22,First Class,Co-10533,Consumer,United States,Georgia,South,Office Supplies,Appliances,19.09,6,0.0,4.37
19,CA-2026-100018,2024-01-18,2024-01-19,First Class,Co-10978,Consumer,United States,Washington,West,Furniture,Chairs,81.22,4,0.1,71.97
20,CA-2026-100019,2024-01-19,2024-01-23,Standard Class,Ho-10165,Home Office,United States,Washington,West,Office Supplies,Storage,67.07,2,0.0,19.91
21,CA-2026-100020,2024-01-20,2024-01-22,Standard Class,Co-10664,Consumer,United States,Indiana,Central,Office Supplies,Paper,146.01,1,0.0,4.8
22,CA-2026-100021,2024-01-21,2024-01-26,Standard Class,Co-10205,Corporate,United States,Virginia,South,Technology,Copiers,305.77,1,0.0,-29.83
23,CA-2026-100022,2024-01-22,2024-01-26,Standard Class,Co-10195,Corporate,United States,Ohio,East,Technology,Phones,395.84,3,0.0,-75.88
24,CA-2026-100023,2024-01-23,2024-01-24,Standard Class,Co-10787,Consumer,United States,Oregon,West,Office Supplies,Appliances,377.69,4,0.0,219.51
25,CA-2026-100024,2024-01-24,2024-01-25,First Class,Co-10650,Consumer,United States,North Carolina,South,Office Supplies,Art,94.16,2,0.0,10.18
26,CA-2026-100025,2024-01-25,2024-01-28,Standard Class,Co-10267,Consumer,United States,Arizona,West,Office Supplies,Storage,237.46,1,0.0,25.87
27,CA-2026-100026,2024-01-26,2024-01-29,Standard Class,Co-10141,Corporate,United States,Georgia,South,Technology,Phones,80.04,4,0.0,-31.25
28,CA-2026-100027,2024-01-27,2024-01-29,Standard Class,Co-10978,Corporate,United States,Virginia,South,Office Supplies,Binders,17.57,7,0.5,12.16
29,CA-2026-100028,2024-01-28,2024-02-01,Standard Class,Co-10203,Corporate,United States,Indiana,Central,Furniture,Furnishings,246.84,6,0.0,461.38
30,CA-2026-100029,2024-01-29,2024-02-02,First Class,Co-10944,Corporate,United States,Oregon,West,Furniture,Furnishings,6.98,6,0.1,-1.71
31,CA-2026-100030,2024-01-30,2024-02-02,Standard Class,Co-10303,Consumer,United States,Pennsylvania,East,Office Supplies,Paper,110.25,9,0.0,94.17
32,CA-2026-100031,2024-01-31,2024-02-04,Standard Class,Ho-10619,Home Office,United States,Michigan,Central,Office Supplies,Art,84.91,2,0.0,65.43
33,CA-2026-100032,2024-01-31,2024-02-04,Second Class,Co-10381,Corporate,United States,Michigan,Central,Technology,Accessories,241.43,4,0.5,-0.03
34,CA-2026-100033,2024-02-01,2024-02-02,Standard Class,Co-10142,Consumer,United States,Massachusetts,East,Furniture,Furnishings,295.7,5,0.0,232.17
35,CA-2026-100034,2024-02-02,2024-02-05,Standard Class,Ho-10209,Home Office,United States,Michigan,Central,Office Supplies,Storage,77.51,1,0.0,-11.31
36,CA-2026-100035,2024-02-03,2024-02-08,Standard Class,Co-10309,Corporate,United States,North Carolina,South,Technology,Phones,338.87,8,0.1,399.18
37,CA-2026-100036,2024-02-04,2024-02-07,Standard Class,Co-10848,Corporate,United States,Georgia,South,Technology,Phones,74.6,8,0.0,-87.26
38,CA-2026-100037,2024-02-05,2024-02-10,Standard Class,Co-10967,Corporate,United States,Washington,West,Office Supplies,Storage,123.24,6,0.2,222.15
39,CA-2026-100038,2024-02-06,2024-02-07,Standard Class,Ho-10930,Home Office,United States,Washington,West,Office Supplies,Art,264.67,5,0.0,303.57
40,CA-2026-100039,2024-02-07,2024-02-09,Standard Class,Co-10148,Corporate,United States,Massachusetts,East,Office Supplies,Appliances,241.13,8,0.0,526.43
41,CA-2026-100040,2024-02-08,2024-02-12,First Class,Co-10214,Consumer,United States,California,West,Technology,Copiers,879.31,3,0.0,586.84
42,CA-2026-100041,2024-02-09,2024-02-10,Standard Class,Co-10254,Consumer,United States,Florida,South,Furniture,Furnishings,56.02,3,0.0,25.85
43,CA-2026-100042,2024-02-10,2024-02-14,Standard Class,Ho-10748,Home Office,United States,Massachusetts,East,Technology,Copiers,222.13,2,0.3,21.75
44,CA-2026-100043,2024-02-11,2024-02-13,Second Class,Co-10602,Consumer,United States,Ohio,East,Office Supplies,Binders,193.16,5,0.1,273.83
45,CA-2026-100044,2024-02-12,2024-02-14,Standard Class,Co-10778,Consumer,United States,Arizona,West,Office Supplies,Appliances,498.25,3,0.0,559.19
46,CA-2026-100045,2024-02-13,2024-02-14,Second Class,Co-10932,Consumer,United States,North Carolina,South,Furniture,Furnishings,39.01,3,0.0,11.64
47,CA-2026-100046,2024-02-14,2024-02-16,Standard Class,Co-10810,Consumer,United States,New York,East,Office Supplies,Storage,283.7,6,0.1,549.86
48,CA-2026-100047,2024-02-15,2024-02-20,Same Day,Co-10170,Corporate,United States,Virginia,South,Office Supplies,Binders,172.99,8,0.0,207.59
49,CA-2026-100048,2024-02-16,2024-02-18,Standard Class,Ho-10618,Home Office,United States,Georgia,South,Furniture,Tables,69.22,2,0.0,17.03
50,CA-2026-100049,2024-02-17,2024-02-21,Standard Class,Co-10811,Consumer,United States,Virginia,South,Office Supplies,Binders,133.66,4,0.0,38.86
51,CA-2026-100050,2024-02-18,2024-02-22,Standard Class,Co-10435,Consumer,United States,California,West,Technology,Phones,86.23,7,0.0,-44.93
52,CA-2026-100051,2024-02-19,2024-02-23,Same Day,Co-10166,Consumer,United States,Indiana,Central,Office Supplies,Paper,178.17,1,0.1,-31.71
53,CA-2026-100052,2024-02-20,2024-02-24,Standard Class,Ho-10592,Home Office,United States,Indiana,Central,Office Supplies,Appliances,444.65,1,0.5,-12.25
54,CA-2026-100053,2024-02-21,2024-02-26,Standard Class,Co-10749,Corporate,United States,New York,East,Furniture,Furnishings,173.47,7,0.0,128.51
55,CA-2026-100054,2024-02-22,2024-02-25,Standard Class,Co-10853,Consumer,United States,North Carolina,South,Office Supplies,Paper,204.78,7,0.0,40.1
56,CA-2026-100055,2024-02-23,2024-02-24,Second Class,Ho-10312,Home Office,United States,Washington,West,Furniture,Furnishings,151.27,1,0.0,10.45
57,CA-2026-100056,2024-02-24,2024-02-28,Standard Class,Ho-10280,Home Office,United States,Florida,South,Office Supplies,Paper,15.5,1,0.0,6.02
58,CA-2026-100057,2024-02-25,2024-02-27,First Class,Ho-10865,Home Office,United States,Virginia,South,Technology,Accessories,58.02,4,0.0,2.36
59,CA-2026-100058,2024-02-26,2024-03-01,Standard Class,Ho-10712,Home Office,United States,California,West,Office Supplies,Appliances,140.46,5,0.2,40.06
60,CA-2026-100059,2024-02-27,2024-02-29,Standard Class,Co-10962,Consumer,United States,Illinois,Central,Furniture,Tables,79.28,5,0.0,-47.52
61,CA-2026-100060,2024-02-28,2024-03-01,Standard Class,Co-10698,Corporate,United States,Georgia,South,Office Supplies,Storage,45.12,4,0.0,-30.9
62,CA-2026-100061,2024-02-29,2024-03-04,Standard Class,Co-10796,Consumer,United States,Virginia,South,Office Supplies,Binders,145.29,8,0.0,308.3
63,CA-2026-100062,2024-03-01,2024-03-06,Standard Class,Ho-10702,Home Office,United States,Illinois,Central,Office Supplies,Appliances,82.96,7,0.0,82.7
64,CA-2026-100063,2024-03-01,2024-03-03,Standard Class,Co-10347,Corporate,United States,Arizona,West,Technology,Phones,64.71,9,0.0,149.34
65,CA-2026-100064,2024-03-02,2024-03-04,Second Class,Co-10313,Corporate,United States,New York,East,Technology,Copiers,129.72,7,0.2,-79.97
66,CA-2026-100065,2024-03-03,2024-03-07,Standard Class,Co-10458,Corporate,United States,Michigan,Central,Office Supplies,Binders,33.61,1,0.0,4.81
67,CA-2026-100066,2024-03-04,2024-03-06,Standard Class,Co-10348,Consumer,United States,New York,East,Office Supplies,Appliances,530.51,7,0.1,-159.81
68,CA-2026-100067,2024-03-05,2024-03-07,Standard Class,Co-10737,Corporate,United States,Ohio,East,Furniture,Bookcases,409.54,1,0.0,-25.87
69,CA-2026-100068,2024-03-06,2024-03-10,Standard Class,Ho-10980,Home Office,United States,Indiana,Central,Furniture,Bookcases,250.94,7,0.0,-339.17
70,CA-2026-100069,2024-03-07,2024-03-11,Standard Class,Ho-10615,Home Office,United States,Virginia,South,Office Supplies,Art,27.46,8,0.0,-26.76
71,CA-2026-100070,2024-03-08,2024-03-09,Standard Class,Co-10187,Consumer,United States,New York,East,Office Supplies,Storage,304.11,9,0.0,-39.52
72,CA-2026-100071,2024-03-09,2024-03-14,Standard Class,Co-10762,Consumer,United States,Ohio,East,Office Supplies,Binders,335.01,3,0.0,-130.53
73,CA-2026-100072,2024-03-10,2024-03-15,First Class,Co-10275,Consumer,United States,Oregon,West,Office Supplies,Paper,297.0,4,0.0,465.12
74,CA-2026-100073,2024-03-11,2024-03-13,First Class,Co-10822,Corporate,United States,Virginia,South,Furniture,Bookcases,29.2,4,0.1,-1.56
75,CA-2026-100074,2024-03-12,2024-03-17,Standard Class,Ho-10525,Home Office,United States,New York,East,Office Supplies,Art,211.51,9,0.1,-208.68
76,CA-2026-100075,2024-03-13,2024-03-15,Standard Class,Co-10870,Consumer,United States,Oregon,West,Furniture,Chairs,364.55,7,0.0,-205.55
77,CA-2026-100076,2024-03-14,2024-03-15,Second Class,Co-10702,Corporate,United States,Virginia,South,Furniture,Bookcases,177.24,3,0.0,81.15
78,CA-2026-100077,2024-03-15,2024-03-19,Standard Class,Ho-10870,Home Office,United States,Illinois,Central,Technology,Machines,212.92,5,0.0,-172.01
79,CA-2026-100078,2024-03-16,2024-03-20,Standard Class,Co-10802,Corporate,United States,Texas,Central,Furniture,Bookcases,127.63,7,0.0,283.62
80,CA-2026-100079,2024-03-17,2024-03-21,Standard Class,Co-10180,Corporate,United States,Washington,West,Office Supplies,Paper,155.46,8,0.0,468.74
81,CA-2026-100080,2024-03-18,2024-03-23,Second Class,Co-10237,Corporate,United States,Texas,Central,Furniture,Chairs,12.0,1,0.3,-0.44
82,CA-2026-100081,2024-03-19,2024-03-20,Second Class,Co-10532,Corporate,United States,Massachusetts,East,Technology,Phones,208.75,2,0.0,29.25
83,CA-2026-100082,2024-03-20,2024-03-25,Standard Class,Co-10569,Consumer,United States,Georgia,South,Office Supplies,Binders,21.99,7,0.0,-28.74
84,CA-2026-100083,2024-03-21,2024-03-26,Standard Class,Co-10449,Corporate,United States,Ohio,East,Furniture,Bookcases,119.19,2,0.0,43.96
85,CA-2026-100084,2024-03-22,2024-03-23,Standard Class,Co-10225,Corporate,United States,Ohio,East,Office Supplies,Binders,74.25,7,0.0,25.13
86,CA-2026-100085,2024-03-23,2024-03-24,Second Class,Ho-10980,Home Office,United States,Texas,Central,Office Supplies,Paper,162.68,9,0.1,-50.03
87,CA-2026-100086,2024-03-24,2024-03-25,Standard Class,Co-10967,Corporate,United States,Massachusetts,East,Technology,Machines,33.64,2,0.0,-5.11
88,CA-2026-100087,2024-03-25,2024-03-26,Standard Class,Co-10408,Corporate,United States,Illinois,Central,Furniture,Bookcases,240.3,7,0.0,323.66
89,CA-2026-100088,2024-03-26,2024-03-30,Second Class,Co-10954,Consumer,United States,Virginia,South,Technology,Accessories,321.96,4,0.1,57.64
90,CA-2026-100089,2024-03-27,2024-03-30,Standard Class,Co-10329,Consumer,United States,North Carolina,South,Technology,Copiers,40.67,2,0.0,-7.5
91,CA-2026-100090,2024-03-28,2024-03-31,Second Class,Co-10559,Consumer,United States,New York,East,Technology,Machines,27.03,7,0.2,32.31
92,CA-2026-100091,2024-03-29,2024-03-30,Standard Class,Co-10444,Consumer,United States,California,West,Office Supplies,Appliances,36.45,5,0.0,25.34
93,CA-2026-100092,2024-03-30,2024-04-02,Standard Class,Co-10409,Corporate,United States,Illinois,Central,Office Supplies,Binders,424.32,1,0.0,133.75
94,CA-2026-100093,2024-03-31,2024-04-03,Standard Class,Ho-10119,Home Office,United States,Illinois,Central,Office Supplies,Storage,155.24,5,0.1,-90.48
95,CA-2026-100094,2024-03-31,2024-04-01,Second Class,Co-10980,Consumer,United States,Pennsylvania,East,Office Supplies,Storage,130.94,3,0.0,106.61
96,CA-2026-100095,2024-04-01,2024-04-04,First Class,Co-10660,Consumer,United States,Indiana,Central,Office Supplies,Appliances,27.57,7,0.0,39.39
97,CA-2026-100096,2024-04-02,2024-04-07,First Class,Ho-10746,Home Office,United States,Illinois,Central,Office Supplies,Binders,214.71,6,0.0,-168.75
98,CA-2026-100097,2024-04-03,2024-04-05,Standard Class,Co-10640,Consumer,United States,California,West,Office Supplies,Paper,409.99,8,0.0,711.39
99,CA-2026-100098,2024-04-04,2024-04-06,Second Class,Co-10659,Corporate,United States,California,West,Office Supplies,Paper,357.27,5,0.1,104.39
100,CA-2026-100099,2024-04-05,2024-04-06,Standard Class,Co-10576,Corporate,United States,Ohio,East,Technology,Phones,201.73,2,0.3,103.65
101,CA-2026-100100,2024-04-06,2024-04-10,Standard Class,Co-10368,Corporate,United States,Washington,West,Furniture,Bookcases,20.65,9,0.5,-10.69
102,CA-2026-100101,2024-04-07,2024-04-08,First Class,Co-10102,Consumer,United States,Massachusetts,East,Technology,Copiers,28.85,8,0.1,38.57
103,CA-2026-100102,2024-04-08,2024-04-12,Standard Class,Co-10869,Consumer,United States,Virginia,South,Office Supplies,Storage,15.11,6,0.0,2.65
104,CA-2026-100103,2024-04-09,2024-04-11,Standard Class,Co-10115,Corporate,United States,Massachusetts,East,Technology,Accessories,64.54,7,0.0,169.01
105,CA-2026-100104,2024-04-10,2024-04-11,Standard Class,Co-10705,Corporate,United States,Georgia,South,Office Supplies,Binders,34.16,9,0.0,-0.62
106,CA-2026-100105,2024-04-11,2024-04-16,Standard Class,Co-10457,Consumer,United States,New York,East,Office Supplies,Storage,65.23,7,0.0,172.28
107,CA-2026-100106,2024-04-12,2024-04-15,Standard Class,Co-10745,Corporate,United States,Indiana,Central,Technology,Copiers,102.25,3,0.0,104.57
108,CA-2026-100107,2024-04-13,2024-04-17,Standard Class,Co-10912,Consumer,United States,California,West,Furniture,Chairs,577.88,6,0.3,-91.67
109,CA-2026-100108,2024-04-14,2024-04-17,Standard Class,Co-10938,Corporate,United States,Georgia,South,Technology,Phones,193.51,7,0.0,382.16
110,CA-2026-100109,2024-04-15,2024-04-18,First Class,Co-10232,Consumer,United States,Pennsylvania,East,Office Supplies,Appliances,365.33,2,0.0,290.34
111,CA-2026-100110,2024-04-16,2024-04-17,First Class,Ho-10411,Home Office,United States,Washington,West,Office Supplies,Art,252.82,3,0.0,-36.71
112,CA-2026-100111,2024-04-17,2024-04-20,Standard Class,Co-10581,Consumer,United States,Pennsylvania,East,Office Supplies,Binders,28.87,4,0.2,5.73
